Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability
13850;1000000522162130056;63862092735027;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.034, 0.132, 0.991);(0.000, 0.000, 0.000);63.875;VALID;(0.034, 0.132, 0.991);(-0.033, 0.000, 0.000);0.287;3.664;12.765;VALID;(0.034, 0.132, 0.991);(0.033, 0.000, 0.000);0.327;4.000;12.245;2;0
13851;1000000522167131656;63862092735027;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.004, 0.131, 0.991);(0.000, 0.000, 0.000);63.875;VALID;(-0.004, 0.131, 0.991);(-0.033, 0.000, 0.000);0.288;3.681;12.765;VALID;(-0.004, 0.131, 0.991);(0.033, 0.000, 0.000);0.329;4.028;12.245;2;0
13852;1000000522172133251;63862092735028;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.041, 0.127, 0.991);(0.000, 0.000, 0.000);63.875;VALID;(-0.041, 0.127, 0.991);(-0.033, 0.000, 0.000);0.288;3.683;12.765;VALID;(-0.041, 0.127, 0.991);(0.033, 0.000, 0.000);0.326;3.992;12.245;2;0
13853;1000000522177134895;63862092735028;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.077, 0.124, 0.989);(0.000, 0.000, 0.000);63.875;VALID;(-0.077, 0.124, 0.989);(-0.033, 0.000, 0.000);0.289;3.695;12.765;VALID;(-0.077, 0.124, 0.989);(0.033, 0.000, 0.000);0.322;3.940;12.245;2;0
13854;1000000522182136668;63862092735028;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.107, 0.118, 0.987);(0.000, 0.000, 0.000);63.875;VALID;(-0.107, 0.118, 0.987);(-0.033, 0.000, 0.000);0.289;3.692;12.765;VALID;(-0.107, 0.118, 0.987);(0.033, 0.000, 0.000);0.318;3.898;12.245;2;0
13855;1000000522187138569;63862092735028;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.131, 0.115, 0.985);(0.000, 0.000, 0.000);63.875;VALID;(-0.131, 0.115, 0.985);(-0.033, 0.000, 0.000);0.290;3.701;12.765;VALID;(-0.131, 0.115, 0.985);(0.033, 0.000, 0.000);0.317;3.881;12.245;2;0
13856;1000000522192140599;63862092735028;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.147, 0.112, 0.983);(0.000, 0.000, 0.000);63.875;VALID;(-0.147, 0.112, 0.983);(-0.033, 0.000, 0.000);0.290;3.706;12.765;VALID;(-0.147, 0.112, 0.983);(0.033, 0.000, 0.000);0.320;3.917;12.245;2;0
13857;1000000522197142758;63862092735028;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.153, 0.109, 0.982);(0.000, 0.000, 0.000);63.875;VALID;(-0.153, 0.109, 0.982);(-0.033, 0.000, 0.000);0.290;3.708;12.765;VALID;(-0.153, 0.109, 0.982);(0.033, 0.000, 0.000);0.318;3.889;12.245;2;0
13858;1000000522202145044;63862092735028;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.159, 0.108, 0.981);(0.000, 0.000, 0.000);63.875;VALID;(-0.159, 0.108, 0.981);(-0.033, 0.000, 0.000);0.290;3.707;12.765;VALID;(-0.159, 0.108, 0.981);(0.033, 0.000, 0.000);0.318;3.897;12.245;2;0
13859;1000000522207147430;63862092735028;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.160, 0.106, 0.981);(0.000, 0.000, 0.000);63.875;VALID;(-0.160, 0.106, 0.981);(-0.033, 0.000, 0.000);0.290;3.703;12.765;VALID;(-0.160, 0.106, 0.981);(0.033, 0.000, 0.000);0.317;3.887;12.245;2;0
